SMILES,gap,mol_weight,num_rotatable_bonds,bertz_ct
C,13.736308097839355,16.042999999999996,0,0.0
N,9.249149322509766,17.031,0,0.0
O,9.836915969848633,18.015,0,0.0
C#C,9.118535041809082,26.037999999999997,0,4.754887502163469
C#N,10.329442024230955,27.026,0,4.754887502163469
C=O,6.1579365730285645,30.025999999999996,0,0.0
CC,12.0437593460083,30.069999999999993,1,0.0
CO,9.352553367614746,32.041999999999994,1,0.0
C#CC,8.767508506774902,40.06500000000001,0,21.509775004326936
CC#N,9.90494441986084,41.053000000000004,0,21.509775004326936
CC=O,6.372906684875488,44.05300000000001,1,7.5097750043269365
NC=O,7.741639137268066,45.04100000000001,0,7.5097750043269365
CCC,11.371638298034668,44.09700000000002,2,0.0
CCO,9.29813003540039,46.06900000000002,2,0.0
COC,9.347110748291016,46.06900000000002,2,0.0
C1CC1,10.694074630737305,42.08100000000002,0,4.754887502163469
C1CO1,10.133520126342772,44.05300000000001,0,4.754887502163469
CC(C)=O,6.3783488273620605,58.08000000000002,2,23.019550008653873
CC(N)=O,7.572928428649902,59.06800000000001,1,23.019550008653873
NC(N)=O,8.302193641662598,60.05600000000001,0,23.019550008653873
CC(C)C,10.911765098571776,58.124000000000024,0,4.754887502163469
CC(C)O,9.118535041809082,60.096000000000025,3,4.754887502163469
CC#CC,6.492636680603027,54.09200000000001,0,36.793987519471216
CC#C[NH3+],6.963393688201904,56.088000000000015,0,36.793987519471216
N#CC#N,7.5375542640686035,52.035999999999994,0,55.01955000865387
C#CC=O,5.556564807891846,54.04800000000001,0,45.548875021634686
N#CC=O,5.621871948242188,55.036,0,45.548875021634686
O=CC=O,4.231370449066162,58.03600000000001,1,21.019550008653873
CC#CC,8.424644470214844,54.09200000000001,0,36.793987519471216
C#CCC,8.5906343460083,54.09200000000001,1,29.793193904479523
CCC#N,9.668205261230469,55.08000000000001,1,29.793193904479523
N#CCN,7.768850326538086,56.068000000000005,1,29.793193904479523
C#CCO,7.815110206604004,56.064000000000014,1,29.793193904479523
N#CCO,8.269539833068848,57.05200000000001,1,29.793193904479523
CCC=O,6.2450127601623535,58.08000000000002,2,14.0
CNC=O,7.7579665184021,59.06800000000001,1,14.0
COC=O,7.858648300170898,60.052000000000014,1,14.0
O=CCO,5.975620269775391,60.052000000000014,2,14.0
CCCC,11.175716400146484,58.124000000000024,3,2.0
CCCO,9.330784797668455,60.096000000000025,3,2.0
CCOC,9.328063011169434,60.09600000000002,3,2.0
OCCO,8.65049934387207,62.06800000000002,3,2.0
CC1CC1,10.171616554260254,56.10800000000002,1,19.219280948873624
C[NH+]1CC1,8.90084457397461,58.10400000000001,1,19.219280948873624
OC1CC1,8.615124702453613,58.08000000000001,1,19.219280948873624
C1CCC1,10.715843200683594,56.10800000000002,0,8.0
C1COC1,8.93349838256836,58.08000000000001,0,8.0
CC(C)=NO,7.031421661376953,73.09499999999997,3,38.0
c1cc[nH]c1,6.879037857055664,67.091,0,56.51517763826091
c1c[nH]cn1,7.034143447875977,68.07899999999998,0,56.51517763826091
c1ccoc1,6.653183937072754,68.07499999999999,0,56.51517763826091
c1cocn1,6.854547500610352,69.06299999999999,0,56.51517763826091
CC(C)(C)C,10.56346035003662,72.15099999999997,0,15.509775004326936
CC(C)(C)O,8.884517669677734,74.12299999999995,0,15.509775004326936
C#CC(C)=O,5.657247066497803,68.07499999999997,1,72.52932501298082
CC(=O)C#N,5.763371467590332,69.06299999999999,1,72.52932501298082
C#CC(N)=O,6.400117874145508,69.06299999999999,0,72.52932501298082
CC(=O)C=O,4.283071994781494,72.06299999999997,2,51.058650025961626
NC(=O)C=O,4.816415309906006,73.05099999999999,1,51.058650025961626
C#CC(C)C,8.598798751831055,68.11899999999999,2,45.548875021634686
CC(C)C#N,9.646435737609863,69.10699999999997,2,45.548875021634686
CC(C)C=O,6.2069172859191895,72.10699999999996,3,27.019550008653876
CN(C)C=O,7.485852241516113,73.09499999999996,2,27.019550008653876
CC(=O)CO,6.631414413452148,74.07899999999997,3,35.302968908806456
CCC(C)=O,6.397397041320801,72.10699999999996,3,35.302968908806456
CCC(N)=O,7.60014009475708,73.09499999999997,2,35.302968908806456
CNC(C)=O,7.632793426513672,73.09499999999996,2,35.302968908806456
CNC(N)=O,8.255934715270996,74.08299999999997,1,35.302968908806456
COC(C)[NH-],8.021917343139648,74.10299999999997,4,14.0
COC(C)=O,7.779735088348389,74.07899999999997,2,35.302968908806456
COC(N)=O,8.827373504638672,75.06699999999998,1,35.302968908806456
NC(=O)CO,7.436871528625488,75.06699999999998,2,35.302968908806456
CC(C)CO,9.300851821899414,74.12299999999995,4,14.0
CCC(C)C,10.704959869384766,72.15099999999997,4,14.0
COC(C)C,9.077718734741213,74.12299999999995,4,14.0
CC1(C)CC1,9.594735145568848,70.13499999999998,2,38.0
CC1(C)CO1,9.537590026855469,72.10699999999996,2,38.0
CC1(O)CC1,8.898122787475586,72.10699999999996,2,38.0
[NH-]C1CCO1,7.910349369049072,72.08699999999996,1,27.019550008653876
O=C1CCC1,6.046370029449463,70.09099999999997,0,47.058650025961626
O=C1CCN1,7.836878776550293,71.07899999999998,0,47.058650025961626
O=C1CCO1,7.831437110900879,72.06299999999997,0,47.058650025961626
O=C1CNC1,5.929360866546631,71.07899999999998,0,47.058650025961626
O=C1COC1,6.2450127601623535,72.06299999999999,0,47.058650025961626
CC1CCC1,10.402912139892578,70.13499999999998,1,27.019550008653876
CC1COC1,8.797441482543945,72.10699999999997,1,27.019550008653876
OC1CCC1,9.145747184753418,72.10699999999996,1,27.019550008653876
OC1COC1,8.351174354553223,74.07899999999998,1,27.019550008653876
C1C2CC1C2,11.036938667297363,68.11899999999999,0,36.793987519471216
C#CCC#C,8.103550910949707,64.087,0,65.19188266301452
C#CCC#N,8.223280906677246,65.07499999999999,0,65.19188266301452
N#CCC#N,9.0994873046875,66.06299999999999,0,65.19188266301452
C#CCC=O,6.108956336975098,68.07499999999997,1,54.928786893420316
